DICTIONAR TERMENI ITALIANA
==========================
accoppiatura: cuplare
bordo:        margine
collare:      guler
collarino:    guler(aș)
contraforti:  staif rigid
copri:        a acoperi
fettuccia:    bandă
filo:         fir, ată
fodera:       căptușeală
fori:         găuri
fustella:     matrițat
gambe:        manșetă
imboditura:   căptușeală
laccio:       șireturi 
linguetta:    limbă
mostrina:     protecție, șild
nastro:       bandă
occhielo:     capse
orlatura:     cusătură, tivitură
patazione:    pătate
punta:        vârf
puntalle:     bombeu (plastic)
riemptivo:    umplut
riporto:      inserție
scelta:       calitate
sottopiedi:   branțuri
taglio:       croit
talone:       calcâi, toc, staif
tomaia:       superior
vascheta:     tavă
